Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL,Voltage_Range,Discharge_Time_Norm,SOH,Delta_SOH,Rolling_DischargeTime,Rolling_SOH
37,2220.19,840,4.046,3.378,5076.344000000274,6049.38,9136.16,1076,0.6680000000000001,0.8554656494432242,0.9676258992805755,-0.000899281,2222.818,0.9694244604316546
38,2218.41,837.594,4.046,3.393,5069.313000000082,6042.31,9101.06,1075,0.6530000000000005,0.854779794,0.966726619,-0.000899281,2221.2239999999997,0.9685251798561151
39,2216.89,835.2029999997467,4.046,3.379,5062.375,6035.36,9112.24,1074,0.6670000000000003,0.8541941201402534,0.9658273381294964,-0.000899281,2219.826,0.9676258992805755
40,2214.97,825.594,4.025,3.604,5026.311999999685,5999,9212.78,1073,0.42100000000000026,0.8534543212730704,0.9649280575539568,-0.000899281,2218.296,0.9667266187050358
41,2219.75,828,4.041,3.686,5020.311999999685,6000.31,9174.41,1072,0.3550000000000004,0.8552961122028281,0.9640287769784173,-0.000899281,2218.042,0.9658273381294963
42,2222.5,835.1880000003148,4.045,3.382,5058.797000000253,6035.28,9125.16,1071,0.6629999999999998,0.8563557199553038,0.9631294964028777,-0.000899281,2218.504,0.9649280575539569
43,2220.53,832.8130000003148,4.045,3.379,5069.375,6049.38,9155.72,1070,0.6659999999999999,0.8555966554926213,0.9622302158273381,-0.000899281,2218.928,0.9640287769784173
44,2217.28,830.4070000003558,4.045,3.379,5062.375,6035.38,9115.94,1069,0.6659999999999999,0.8543443917851501,0.9613309352517986,-0.000899281,2219.0060000000003,0.9631294964028777
45,2214.66,828,4.045,3.381,5048.342999999644,6028.34,9122.81,1068,0.6640000000000001,0.8533348745809732,0.960431655,-0.000899281,2218.944,0.9622302158273381
46,2211.25,828,4.044,3.381,5041.25,6021.25,9074.06,1067,0.6629999999999998,0.8520209609679035,0.9595323741007195,-0.000899281,2217.2439999999997,0.9613309352517986
47,2210.59,828,4.045,3.381,5034.375,6014.38,9118.03,1066,0.6640000000000001,0.8517666551073093,0.9586330935251799,-0.000899281,2214.862,0.960431655
48,2208.56,825.594,4.045,3.382,5030.7339999999385,6007.22,9098.56,1065,0.6629999999999998,0.8509844719300272,0.9577338129496403,-0.000899281,2212.468,0.9595323741007196
49,2206.88,823.219,4.045,3.382,5027.280999999959,6000.25,9091.78,1064,0.6629999999999998,0.8503371479212423,0.9568345323741008,-0.000899281,2210.388,0.9586330935251798
50,2203.19,820.8119999996852,4.045,3.383,5020.375,5993.38,9083.59,1063,0.6619999999999999,0.8489153469733749,0.9559352517985612,-0.000899281,2208.094,0.9577338129496404
51,2202.53,820.7820000003558,4.045,3.384,5013.375,5986.38,9089.47,1062,0.661,0.8486610411127808,0.9550359712230215,-0.000899281,2206.35,0.9568345323741007
52,2200.34,816,4.044,3.386,5006.344000000041,5979.34,9089.41,1061,0.6579999999999995,0.8478172080299002,0.954136691,-0.000899281,2204.3,0.9559352517985612
53,2198.19,816,4.044,3.385,4999.219000000041,5972.22,9067.53,1060,0.6589999999999998,0.8469887874234192,0.9532374100719424,-0.000899281,2202.2259999999997,0.9550359712230216
54,2197,813.5929999996442,4.044,3.387,4992.25,5965.25,9074.62,1059,0.6569999999999996,0.8465302662505297,0.9523381294964028,-0.000899281,2200.25,0.9541366906474819
55,2195.94,813.5929999996442,4.044,3.387,4988.859500000253,5965.38,9079.66,1058,0.6569999999999996,0.8461218356259391,0.9514388489208633,-0.000899281,2198.8,0.9532374100719425
56,2194.12,811.2190000002738,4.044,3.387,4985.344000000041,5958.34,9049.97,1057,0.6569999999999996,0.8454205679497552,0.9505395683453237,-0.000899281,2197.118,0.9523381294964028
57,2192.56,813.594,4.044,3.388,4978.280999999726,5958.28,9049.44,1056,0.6559999999999997,0.844819481,0.9496402877697842,-0.000899281,2195.5620000000004,0.9514388489208633
58,2190.75,811.2179999996442,4.044,3.387,4978.313000000315,5951.31,9029.53,1055,0.6569999999999996,0.8441220668130851,0.9487410071942446,-0.000899281,2194.074,0.9505395683453237
59,2189.5,808.8130000003148,4.044,3.388,4971.375,5944.38,9049.91,1054,0.6559999999999997,0.8436404269255963,0.947841727,-0.000899281,2192.574,0.9496402877697842
60,2188.19,806.4369999996852,4.044,3.389,4964.313000000315,5937.31,9059.31,1053,0.6549999999999998,0.8431356683235078,0.9469424460431655,-0.000899281,2191.024,0.9487410071942446
61,2186.25,806.4380000003148,4.043,3.391,4960.843499999959,5937.38,9027.75,1052,0.6520000000000001,0.842388163,0.9460431654676259,-0.000899281,2189.45,0.9478417266187051
62,2185.56,806.375,4.043,3.39,4957.375,5930.38,9015.12,1051,0.653,0.8421222980002311,0.9451438848920863,-0.000899281,2188.05,0.9469424460431654
63,2185.12,806.4380000003148,4.043,3.39,4957.375,5930.38,9051.06,1050,0.653,0.8419527607598349,0.9442446043165468,-0.000899281,2186.924,0.946043165
64,2179.06,789.5619999996852,4.022,3.625,4921.375,5894,9069.94,1049,0.39700000000000024,0.8396177705852887,0.9433453237410072,-0.000899281,2184.8360000000002,0.9451438848920863
65,206007.26,-64192.716,4.271,3.166,72809.98200000008,84474.65,84474.65,1048,1.105,79.37705082264092,0.9424460431654677,-0.000899281,42948.65,0.9442446043165468
66,2182.56,793.1999999999534,4.004,3.381,5213.9199999999255,6200.32,9459.46,1047,0.6229999999999998,0.8409663622702577,0.9415467625899281,-0.000899281,42947.912,0.9433453237410072
67,2182.62,798,4.007,3.395,4969.152000000002,5912.35,9114.85,1046,0.6119999999999997,0.8409894809848572,0.9406474820143885,-0.000899281,42947.324,0.9424460431654677
68,2180.13,797.6000000000931,4.007,3.394,4969.178400000092,5912.35,9093.92,1045,0.6129999999999995,0.8400300543289793,0.939748201,-0.000899281,42946.326,0.9415467625899282
69,2177.34,795,4.008,3.394,4961.920000000158,5912.32,9058.18,1044,0.6139999999999999,0.8389550341001041,0.9388489208633094,-0.000899281,42945.982,0.9406474820143886
70,2175.17,795,4.007,3.395,4954.782999999821,5912.38,9064.41,1043,0.6119999999999997,0.8381189072554233,0.9379496402877698,-0.000899281,2179.564,0.9397482014388489
71,2173.44,793,4.008,3.398,4947.551000000443,5912.35,9080.74,1042,0.6099999999999999,0.8374523176511386,0.9370503597122302,-0.000899281,2177.7400000000002,0.9388489208633095
72,2170.56,789.6000000000931,4.008,3.397,4940.320000000298,5912.32,9060.73,1041,0.6110000000000002,0.836342619,0.9361510791366906,-0.000899281,2175.328,0.9379496402877698
73,2168.26,789.6000000000931,4.008,3.399,4933.121,5876.32,9048.26,1040,0.609,0.8354564019573846,0.935251799,-0.000899281,2172.954,0.9370503597122302
74,2165.54,788,4.008,3.399,4928.319999999832,5876.32,9027.49,1039,0.609,0.8344083535622085,0.9343525179856115,-0.000899281,2170.594,0.9361510791366907
75,2163.77,786,4.008,3.401,4918.790999999736,5876.39,9027.52,1038,0.6070000000000002,0.8337263514815242,0.9334532374100719,-0.000899281,2168.314,0.9352517985611509
76,2162.18,783.6000000000931,4.008,3.401,4916.321000000462,5876.32,9008.32,1037,0.6070000000000002,0.8331137055446383,0.9325539568345323,-0.000899281,2166.062,0.9343525179856116
77,2160.17,786,4.008,3.401,4911.550999999978,5876.35,9000.64,1036,0.6070000000000002,0.8323392286055562,0.9316546762589928,-0.000899281,2163.984,0.9334532374100719
78,2158.66,784,4.008,3.401,4910.359000000171,5876.36,9023.48,1035,0.6070000000000002,0.8317574076214694,0.9307553956834532,-0.000899281,2162.064,0.9325539568345323
79,2155.94,780,4.007,3.402,4904.328000000212,5876.33,8968.09,1034,0.6049999999999995,0.8307093592262936,0.9298561151079137,-0.000899281,2160.144,0.9316546762589928
80,2154.69,782.3999999999069,4.008,3.402,4897.158999999519,5840.36,8974.28,1033,0.6059999999999999,0.8302277193388047,0.9289568345323741,-0.000899281,2158.3280000000004,0.9307553956834532
81,2152.42,782.3999999999069,4.008,3.403,4889.913000000175,5840.31,8965.95,1032,0.605,0.8293530613031248,0.9280575539568345,-0.000899281,2156.376,0.9298561151079138
82,2151.42,782.3999999999069,4.008,3.405,4882.728000000119,5840.33,8962.08,1031,0.6030000000000002,0.8289677493931337,0.927158273,-0.000899281,2154.626,0.9289568345323742
83,2149.92,778.3999999999069,4.008,3.403,4880.342999999877,5840.34,8958.81,1030,0.605,0.828389782,0.9262589928057554,-0.000899281,2152.878,0.9280575539568344
84,2148.48,778.3999999999069,4.008,3.404,4875.512999999803,5840.31,8930.36,1029,0.6040000000000001,0.8278349323777597,0.9253597122302158,-0.000899281,2151.386,0.9271582733812951
85,2147.39,776.3999999999069,4.008,3.404,4868.327999999747,5840.33,8962.02,1028,0.6040000000000001,0.8274149423958693,0.9244604316546763,-0.000899281,2149.926,0.9262589928057554
86,2145.83,777,4.008,3.405,4868.265999999829,5840.27,8942.92,1027,0.6030000000000002,0.8268138558162832,0.9235611510791367,-0.000899281,2148.6079999999997,0.9253597122302158
87,2144.58,775,4.008,3.404,4862.311999999918,5804.31,8963.16,1026,0.6040000000000001,0.8263322159287942,0.9226618705035972,-0.000899281,2147.24,0.9244604316546763
88,2142.5,772.7999999998137,4.008,3.405,4856.327999999747,5804.33,8947.59,1025,0.6030000000000002,0.8255307671560127,0.9217625899280576,-0.000899281,2145.756,0.9235611510791367
89,2147.06,763.2180000003427,4.018,3.653,4816.311999999918,5788.97,9007.12,1024,0.36499999999999977,0.8272877894655724,0.920863309,-0.000899281,2145.472,0.9226618705035972
90,2145.16,766,4.003,3.731,4808.344000000041,5768.34,9026.06,1023,0.27200000000000024,0.8265556968365891,0.9199640287769785,-0.000899281,2145.0260000000003,0.9217625899280577
91,2147.28,774,4.006,3.41,4853.944000000134,5804.34,8977.31,1022,0.5960000000000001,0.8273725580857705,0.9190647482014388,-0.000899281,2145.316,0.9208633093525179
92,2145.28,772.7999999998137,4.007,3.406,4861.143999999855,5804.34,8974.09,1021,0.6009999999999995,0.8266019342657882,0.9181654676258992,-0.000899281,2145.456,0.9199640287769786
93,2143.12,774,4.008,3.407,4853.943000000436,5804.34,8977.41,1020,0.601,0.8257696605402072,0.9172661870503597,-0.000899281,2145.5800000000004,0.9190647482014388
94,2140.53,770,4.008,3.407,4846.743999999482,5804.34,8960.47,1019,0.601,0.8247717026933302,0.9163669064748201,-0.000899281,2144.274,0.9181654676258992
95,2138.88,770,4.008,3.407,4839.513000000268,5804.31,8950.19,1018,0.601,0.8241359380418448,0.9154676258992805,-0.000899281,2143.018,0.9172661870503596
96,2137.31,768,4.007,3.407,4838.375,5804.38,8971.72,1017,0.5999999999999996,0.8235309983431587,0.914568345,-0.000899281,2141.0240000000003,0.916366906
97,2135.19,769.2000000001863,4.007,3.408,4832.375,5804.38,8927.5,1016,0.5989999999999998,0.8227141370939776,0.9136690647482014,-0.000899281,2139.0060000000003,0.9154676258992807
98,2133.34,769,4.007,3.408,4825.143999999855,5768.34,8944.38,1015,0.5989999999999998,0.8220013100604939,0.9127697841726619,-0.000899281,2137.05,0.914568345
99,2130.69,765.6000000000931,4.007,3.408,4817.944000000134,5768.34,8896.53,1014,0.5989999999999998,0.8209802334990174,0.9118705035971223,-0.000899281,2135.082,0.9136690647482014
100,2128.56,768,4.007,3.409,4810.743999999948,5768.34,8901.75,1013,0.5979999999999999,0.8201595191307363,0.9109712230215827,-0.000899281,2133.018,0.9127697841726619
101,2126.97,762,4.006,3.41,4803.513000000268,5768.31,8899.03,1012,0.5960000000000001,0.8195468731938503,0.9100719424460432,-0.000899281,2130.95,0.9118705035971223
102,2125.78,762,4.006,3.411,4796.313000000082,5768.31,8913.22,1011,0.5950000000000002,0.819088352,0.9091726618705036,-0.000899281,2129.068,0.9109712230215827
103,2124.41,764.3999999999069,4.006,3.411,4796.375,5768.38,8916.5,1010,0.5950000000000002,0.818560475,0.908273381,-0.000899281,2127.282,0.9100719424460433
104,2122.03,762.3999999999069,4.005,3.411,4789.150199999567,5732.34,8875.09,1009,0.5939999999999999,0.8176434323584942,0.9073741007194245,-0.000899281,2125.55,0.9091726618705035
105,2112,759,4.005,3.411,4781.943000000436,5732.34,8892.59,1008,0.5939999999999999,0.8137787539012831,0.9064748201438849,-0.000899281,2122.238,0.9082733812949642
106,2118.81,760.7999999998137,4.006,3.413,4774.743999999948,5732.34,8892.44,1007,0.5930000000000004,0.8164027280083227,0.9055755395683454,-0.000899281,2120.606,0.9073741007194245
107,2117.62,756.7999999998137,4.006,3.412,4767.513000000268,5732.31,8905.44,1006,0.5940000000000003,0.8159442068354332,0.9046762589928058,-0.000899281,2118.9739999999997,0.9064748201438849
108,2115.12,757.2000000001863,4.005,3.414,4766.375,5732.38,8854.25,1005,0.5909999999999997,0.8149809270604553,0.9037769784172662,-0.000899281,2117.116,0.9055755395683454
109,2114.31,755.2000000001863,4.006,3.414,4760.375,5732.38,8898.38,1004,0.5920000000000001,0.8146688244133625,0.9028776978417267,-0.000899281,2115.5719999999997,0.9046762589928058
110,2112.31,753,4.005,3.414,4753.174999999814,5696.38,8870.56,1003,0.5909999999999997,0.8138982005933802,0.9019784172661871,-0.000899281,2115.634,0.9037769784172662
111,2111.19,753,4.005,3.414,4748.375,5696.38,8860.06,1002,0.5909999999999997,0.8134666512541903,0.9010791366906474,-0.000899281,2114.1099999999997,0.9028776978417266
112,2100.94,748.7999999998137,3.991,3.415,4745.975000000093,6147.88,8766.5,1001,0.5760000000000001,0.8095172041767811,0.9001798561151079,-0.000899281,2110.7740000000003,0.901978417
113,2109.81,739.187,4.014,3.674,4690.25,5656,8884.06,1000,0.3400000000000003,0.8129349208184025,0.8992805755395683,-0.000899281,2109.712,0.9010791366906474
115,2124.61,751.2000000001863,3.998,3.397,5066.256000000052,6056.26,9425.95,998,0.6010000000000004,0.8186375370862713,0.8974820143884892,-0.001798561,2111.772,0.9
116,2124.16,752,3.999,3.415,4778.320999999996,5732.32,8951.84,997,0.5840000000000001,0.8184641467267753,0.8965827338129496,-0.000899281,2114.1420000000003,0.8989208633093524
117,2121.79,751.9980000001378,4,3.415,4781.824000000488,5732.22,8950.82,996,0.585,0.8175509575000962,0.895683453,-0.000899281,2116.2619999999997,0.897841727
118,2119.97,749.6000000000931,4.001,3.417,4772.351999999955,5732.35,8959.65,995,0.5840000000000005,0.8168496898239124,0.8947841726618705,-0.000899281,2120.068,0.8967625899280576
119,2117.7,747.6000000000931,4.001,3.417,4767.552000000142,5732.35,8965.47,994,0.5840000000000005,0.8159750317882325,0.8938848920863309,-0.000899281,2121.6459999999997,0.895683453
120,2114.24,747.6000000000931,4.001,3.419,4760.351999999955,5696.35,8932.74,993,0.5820000000000003,0.8146418525796632,0.8929856115107914,-0.000899281,2119.5719999999997,0.8947841726618705
121,2111.11,744,4.001,3.419,4753.151999999303,5696.35,8918.18,992,0.5820000000000003,0.813435826,0.8920863309352518,-0.000899281,2116.962,0.8938848920863309
122,2107.84,744,4.001,3.421,4742.319999999832,5696.32,8919.01,991,0.5800000000000005,0.812175856,0.8911870503597122,-0.000899281,2114.172,0.8929856115107914
123,2105.28,740,4.001,3.421,4731.520000000019,5696.32,8897.66,990,0.5800000000000005,0.8111894578661427,0.8902877697841727,-0.000899281,2111.2339999999995,0.8920863309352518
124,2102.91,738,4.001,3.422,4724.351999999955,5660.35,8913.22,989,0.5790000000000002,0.8102762686394636,0.8893884892086331,-0.000899281,2108.2760000000003,0.8911870503597121
125,2100.16,740.3999999999069,4.001,3.423,4717.121000000276,5660.32,8882.59,988,0.5780000000000003,0.8092166608869878,0.8884892086330936,-0.000899281,2105.46,0.8902877697841728
126,2098.37,738.3999999999069,4.001,3.424,4709.9199999999255,5660.32,8886.08,987,0.5770000000000004,0.8085269525681038,0.887589928,-0.000899281,2102.912,0.889388489
127,2095.59,734.3999999999069,4.001,3.425,4702.743,5660.34,8857.02,986,0.5760000000000005,0.8074557854583285,0.8866906474820144,-0.000899281,2100.462,0.8884892086330936
128,2093.19,735,4.001,3.424,4695.589999999851,5660.39,8846.05,985,0.5770000000000004,0.8065310368743498,0.8857913669064749,-0.000899281,2098.044,0.887589928
129,2091.2,736.7999999998137,4.001,3.425,4688.328000000212,5624.33,8845.25,984,0.5760000000000005,0.8057642661734673,0.8848920863309353,-0.000899281,2095.702,0.8866906474820144
130,2089,732.7999999998137,4.001,3.426,4681.049999999814,5624.25,8839.94,983,0.5750000000000002,0.8049165799714869,0.8839928057553957,-0.000899281,2093.47,0.8857913669064749
131,2086.91,732,4.001,3.427,4673.959,5624.36,8834.91,982,0.5740000000000003,0.8041112780796054,0.8830935251798561,-0.000899281,2091.178,0.8848920863309353
132,2084.55,731.2000000001863,4.001,3.426,4666.712999999989,5624.31,8807.3,981,0.5750000000000002,0.8032019419720263,0.8821942446043165,-0.000899281,2088.9700000000003,0.8839928057553956
133,2083.19,731.2000000001863,4.001,3.427,4659.512000000104,5624.31,8812.31,980,0.5740000000000003,0.8026779177744384,0.8812949640287769,-0.000899281,2086.97,0.8830935251798561
134,2081.8,727.2000000001863,4.001,3.428,4652.312000000384,5588.31,8816.34,979,0.5730000000000004,0.8021423342195507,0.8803956834532374,-0.000899281,2085.09,0.8821942446043165
135,2079.97,727.2000000001863,4.001,3.427,4652.281000000425,5588.28,8807.45,978,0.5740000000000003,0.8014372134242668,0.8794964028776978,-0.000899281,2083.284,0.8812949640287769
136,2078.72,727.2000000001863,4.001,3.428,4645.191000000108,5588.39,8820.2,977,0.5730000000000004,0.8009555735367779,0.8785971223021583,-0.000899281,2081.6459999999997,0.8803956834532374
137,2076.91,729.6000000000931,4.001,3.427,4640.359000000637,5588.36,8797.52,976,0.5740000000000003,0.800258159,0.8776978417266187,-0.000899281,2080.118,0.8794964028776977
138,2078.66,717.5930000003427,4.01,3.68,4592.375,5558,8897.53,975,0.3299999999999996,0.8009324548221785,0.8767985611510791,-0.000899281,2079.2120000000004,0.8785971223021581
139,2077.22,717.6000000000931,3.996,3.76,4574.344000000507,5516.34,8858.62,974,0.2360000000000002,0.8003776056717912,0.8758992805755396,-0.000899281,2078.296,0.8776978417266188
140,2080.69,725.6000000000931,3.999,3.433,4634.343999999575,5588.34,8807.22,973,0.5660000000000003,0.8017146379994605,0.875,-0.000899281,2078.44,0.8767985611510791
141,2079.28,725.6000000000931,4,3.429,4645.143999999389,5588.34,8828.72,972,0.5710000000000002,0.801171348,0.8741007194244604,-0.000899281,2078.5519999999997,0.8758992805755396
142,2076.56,723.6000000000931,4,3.429,4637.913000000175,5588.31,8812.88,971,0.5710000000000002,0.8001232998111971,0.8732014388489209,-0.000899281,2078.482,0.875
143,2074.47,726,4,3.429,4630.743,5588.34,8809.44,970,0.5710000000000002,0.7993179979193156,0.8723021582733813,-0.000899281,2077.644,0.8741007194244604
144,2071.62,720,4,3.431,4623.606000000611,5588.41,8778,969,0.569,0.7982198589758408,0.8714028776978417,-0.000899281,2076.524,0.8732014388489209
145,2070.34,722.4062000000849,3.999,3.43,4616.311999999918,5552.31,8808.19,968,0.569,0.7977266597310523,0.8705035971223022,-0.000899281,2074.454,0.8723021582733814
146,2069.03,722.3999999999069,4,3.43,4609.144,5552.34,8804.88,967,0.5699999999999998,0.797221901,0.8696043165467626,-0.000899281,2072.404,0.8714028776978416
147,2067.62,722.3938000001945,4,3.431,4604.313000000082,5552.31,8805.75,966,0.569,0.7966786113358763,0.8687050359712231,-0.000899281,2070.6159999999995,0.8705035971223023
148,2065.16,720.7999999998137,3.999,3.43,4601.913000000175,5552.31,8784.09,965,0.569,0.795730744,0.8678057553956835,-0.000899281,2068.754,0.8696043165467626
149,2063.19,716.7814000002109,3.999,3.431,4592.311999999918,5552.31,8806.03,964,0.5680000000000001,0.7949716795746156,0.8669064748201439,-0.000899281,2067.068,0.8687050359712231
150,2060.94,715.2000000001863,3.999,3.432,4586.344000000507,5552.34,8776.62,963,0.5670000000000002,0.7941047277771356,0.8660071942446043,-0.000899281,2065.188,0.8678057553956835
151,2058.47,716.9922500001267,3.999,3.433,4574.311999999918,5516.31,8743.38,962,0.5660000000000003,0.7931530073594574,0.8651079136690647,-0.000899281,2063.076,0.8669064748201439
152,2056.81,713.6000000000931,3.998,3.433,4573.143999999389,5516.34,8739.5,961,0.5650000000000004,0.7925133895888721,0.8642086330935251,-0.000899281,2060.9139999999998,0.8660071942446044
153,2056.25,713.6000000000931,3.999,3.433,4565.913000000175,5516.31,8781.31,960,0.5660000000000003,0.7922976149192771,0.8633093525179856,-0.000899281,2059.132,0.8651079136690647
154,2054.41,713.6000000000931,3.998,3.434,4562.375,5516.38,8763.88,959,0.5640000000000001,0.7915886410048933,0.862410072,-0.000899281,2057.376,0.8642086330935251
155,2052.81,711.6000000000931,3.998,3.434,4558.743,5516.34,8734.62,958,0.5640000000000001,0.7909721419489075,0.8615107913669064,-0.000899281,2055.75,0.8633093525179856
156,2051.94,711.6000000000931,3.998,3.435,4551.512000000104,5516.31,8772.62,957,0.5630000000000002,0.7906369205872154,0.8606115107913669,-0.000899281,2054.4440000000004,0.862410072
157,2050.28,712,3.998,3.435,4550.406000000425,5516.41,8748.69,956,0.5630000000000002,0.789997303,0.8597122302158273,-0.000899281,2053.138,0.8615107913669064
